sector_code;sector_label;activity_code;activity_label;product_code;product_label
C;ACTIVITES DE FABRICATION ;C230203;Fabrication d'autres produits céramiques ;C23020301;Articles céramiques à usage domestique ou ornemental 
C;ACTIVITES DE FABRICATION ;C230203;Fabrication d'autres produits céramiques ;C23020302;Appareils sanitaires en céramique  
C;ACTIVITES DE FABRICATION ;C230203;Fabrication d'autres produits céramiques ;C23020303;Autres produits céramiques n.c.a.  
C;ACTIVITES DE FABRICATION ;C230301;Fabrication de ciment, chaux et plâtre;C23030101;Clinkers  
C;ACTIVITES DE FABRICATION ;C230301;Fabrication de ciment, chaux et plâtre;C23030102;Ciment   
C;ACTIVITES DE FABRICATION ;C230301;Fabrication de ciment, chaux et plâtre;C23030103;Chaux, plâtre  
C;ACTIVITES DE FABRICATION ;C230302;"Fabrication de matériaux et d'ouvrages en ciment, en béton ou en plâtre ; travail de la pierre ";C23030201;Matériaux et ouvrages en ciment, en béton ou en plâtre   
C;ACTIVITES DE FABRICATION ;C230302;"Fabrication de matériaux et d'ouvrages en ciment, en béton ou en plâtre ; travail de la pierre ";C23030202;Travail de la pierre   
C;ACTIVITES DE FABRICATION ;C230303;Fabrication de produits minéraux non métalliques n.c.a. ;C23030301;Produits abrasifs  
C;ACTIVITES DE FABRICATION ;C230303;Fabrication de produits minéraux non métalliques n.c.a. ;C23030302;Autres produits minéraux non métalliques n.c.a. 
C;ACTIVITES DE FABRICATION ;C230303;Fabrication de produits minéraux non métalliques n.c.a. ;C23030303;Opérations sous-traitées intervenant dans la fabrication de matériaux minéraux 
C;ACTIVITES DE FABRICATION ;C240100;Sidérurgie et première transformation de l'acier;C24010001;Produits de la sidérurgie  
C;ACTIVITES DE FABRICATION ;C240100;Sidérurgie et première transformation de l'acier;C24010002;Tubes et tuyaux en acier 
C;ACTIVITES DE FABRICATION ;C240100;Sidérurgie et première transformation de l'acier;C24010003;Autres produits de la première transformation de l’acier  
C;ACTIVITES DE FABRICATION ;C240200;Métallurgie et première transformation des métaux non ferreux;C24020001;Argent  
C;ACTIVITES DE FABRICATION ;C240200;Métallurgie et première transformation des métaux non ferreux;C24020002;Or  
C;ACTIVITES DE FABRICATION ;C240200;Métallurgie et première transformation des métaux non ferreux;C24020003;Platine  
C;ACTIVITES DE FABRICATION ;C240200;Métallurgie et première transformation des métaux non ferreux;C24020004;Demi-produits en métaux précieux  
C;ACTIVITES DE FABRICATION ;C240200;Métallurgie et première transformation des métaux non ferreux;C24020005;Alumine 
C;ACTIVITES DE FABRICATION ;C240200;Métallurgie et première transformation des métaux non ferreux;C24020006;"Aluminium ; demi-produits en aluminium "
C;ACTIVITES DE FABRICATION ;C240200;Métallurgie et première transformation des métaux non ferreux;C24020007;Produits n.c.a. de la première transformation des métaux non ferreux  
C;ACTIVITES DE FABRICATION ;C240300;Fonderie ;C24030001;Tubes et tuyaux en fonte  
C;ACTIVITES DE FABRICATION ;C240300;Fonderie ;C24030002;Travaux de fonderie pour des tiers 
C;ACTIVITES DE FABRICATION ;C250100;Fabrication de structures métalliques, citernes et ouvrages chaudronnés ;C25010001;Structures métalliques   
C;ACTIVITES DE FABRICATION ;C250100;Fabrication de structures métalliques, citernes et ouvrages chaudronnés ;C25010002;"Réservoirs ; chaudières  "
C;ACTIVITES DE FABRICATION ;C250100;Fabrication de structures métalliques, citernes et ouvrages chaudronnés ;C25010003;Générateurs de vapeur   
C;ACTIVITES DE FABRICATION ;C250200;Fabrication d'autres ouvrages en métaux ;C25020001;Outillage et articles de coutellerie  
C;ACTIVITES DE FABRICATION ;C250200;Fabrication d'autres ouvrages en métaux ;C25020002;Serrures et ferrures  
C;ACTIVITES DE FABRICATION ;C250200;Fabrication d'autres ouvrages en métaux ;C25020003;Vis, boulons, chaînes et ressorts  
C;ACTIVITES DE FABRICATION ;C250200;Fabrication d'autres ouvrages en métaux ;C25020004;Ouvrages divers en métaux  
C;ACTIVITES DE FABRICATION ;C250200;Fabrication d'autres ouvrages en métaux ;C25020005;Armes et munitions  
C;ACTIVITES DE FABRICATION ;C250200;Fabrication d'autres ouvrages en métaux ;C25020006;Travail des métaux et mécanique générale 
C;ACTIVITES DE FABRICATION ;C250200;Fabrication d'autres ouvrages en métaux ;C25020007;Opérations sous-traitées intervenant dans la fabrication des ouvrages en métaux 
C;ACTIVITES DE FABRICATION ;C260101;Fabrication de composants, cartes électroniques et supports magnétiques ;C26010101;Composants électroniques 
C;ACTIVITES DE FABRICATION ;C260101;Fabrication de composants, cartes électroniques et supports magnétiques ;C26010102;Cartes électroniques  
C;ACTIVITES DE FABRICATION ;C260101;Fabrication de composants, cartes électroniques et supports magnétiques ;C26010103;Supports magnétiques et optiques 
C;ACTIVITES DE FABRICATION ;C260102;Fabrication d'ordinateurs et d'équipements périphériques ;C26010201;Ordinateurs   
C;ACTIVITES DE FABRICATION ;C260102;Fabrication d'ordinateurs et d'équipements périphériques ;C26010202;Equipements périphériques   
C;ACTIVITES DE FABRICATION ;C260201;Fabrication d'équipements de communication;C26020101;Matériel professionnel d'émission de l'image et du son 
C;ACTIVITES DE FABRICATION ;C260201;Fabrication d'équipements de communication;C26020102;Postes téléphoniques d'usagers et téléphones cellulaires  
C;ACTIVITES DE FABRICATION ;C260201;Fabrication d'équipements de communication;C26020103;Antennes, paraboles et parties d'appareils de communication 
C;ACTIVITES DE FABRICATION ;C260201;Fabrication d'équipements de communication;C26020104;Autres équipements de communication 
C;ACTIVITES DE FABRICATION ;C260202;Fabrication de produits électroniques grand public ;C26020201;Récepteurs radio et autoradios  
C;ACTIVITES DE FABRICATION ;C260202;Fabrication de produits électroniques grand public ;C26020202;Récepteurs de télévision 
C;ACTIVITES DE FABRICATION ;C260202;Fabrication de produits électroniques grand public ;C26020203;Appareils d'enregistrement ou de reproduction du son ou des images 
C;ACTIVITES DE FABRICATION ;C260202;Fabrication de produits électroniques grand public ;C26020204;Microphones, haut-parleurs et similaires  
C;ACTIVITES DE FABRICATION ;C260202;Fabrication de produits électroniques grand public ;C26020205;Parties d'appareils de réception, enregistrement ou reproduction du son et des images 
C;ACTIVITES DE FABRICATION ;C260202;Fabrication de produits électroniques grand public ;C26020206;Consoles de jeux vidéo et manettes 
C;ACTIVITES DE FABRICATION ;C260300;Fabrication d'équipements d'imagerie médicale, de précision, d'optique et d'horlogerie ;C26030001;Équipements électro-médicaux   
C;ACTIVITES DE FABRICATION ;C260300;Fabrication d'équipements d'imagerie médicale, de précision, d'optique et d'horlogerie ;C26030002;Matériel optique et photographique   
C;ACTIVITES DE FABRICATION ;C260300;Fabrication d'équipements d'imagerie médicale, de précision, d'optique et d'horlogerie ;C26030003;Instruments d'aide à la navigation et de mesures météorologiques, géophysiques et similaires 
C;ACTIVITES DE FABRICATION ;C260300;Fabrication d'équipements d'imagerie médicale, de précision, d'optique et d'horlogerie ;C26030004;"Balances de précision ; instruments de dessin, calcul et mesure des longueurs "
C;ACTIVITES DE FABRICATION ;C260300;Fabrication d'équipements d'imagerie médicale, de précision, d'optique et d'horlogerie ;C26030005;Instruments  et appareils de mesure, de contrôle et d’essai  
C;ACTIVITES DE FABRICATION ;C260300;Fabrication d'équipements d'imagerie médicale, de précision, d'optique et d'horlogerie ;C26030006;Articles d'horlogerie 
C;ACTIVITES DE FABRICATION ;C260300;Fabrication d'équipements d'imagerie médicale, de précision, d'optique et d'horlogerie ;C26030006;Opérations sous-traitées intervenant dans la fabrication de produits électroniques et informatiques 
C;ACTIVITES DE FABRICATION ;C270100;Fabrication de machines et matériels électrotechniques ;C27010001;Moteurs à courant continu ou alternatif
C;ACTIVITES DE FABRICATION ;C270100;Fabrication de machines et matériels électrotechniques ;C27010002;Groupes électrogènes et convertisseurs rotatifs   
C;ACTIVITES DE FABRICATION ;C270100;Fabrication de machines et matériels électrotechniques ;C27010003;Lampes et appareils d'éclairage électriques  
C;ACTIVITES DE FABRICATION ;C270100;Fabrication de machines et matériels électrotechniques ;C27010004;Transformateurs électriques, ballasts et réactances 
C;ACTIVITES DE FABRICATION ;C270100;Fabrication de machines et matériels électrotechniques ;C27010005;Matériel de distribution et de commande électrique 
C;ACTIVITES DE FABRICATION ;C270100;Fabrication de machines et matériels électrotechniques ;C27010006;Piles et accumulateurs électriques 
C;ACTIVITES DE FABRICATION ;C270100;Fabrication de machines et matériels électrotechniques ;C27010007;Fils, câbles et matériel d'installation électrique 
C;ACTIVITES DE FABRICATION ;C270100;Fabrication de machines et matériels électrotechniques ;C27010008;Autres fournitures électriques  
C;ACTIVITES DE FABRICATION ;C270200;Fabrication d'appareils domestiques ;C27020001;Réfrigérateurs et congélateurs domestiques 
C;ACTIVITES DE FABRICATION ;C270200;Fabrication d'appareils domestiques ;C27020002;Autre électroménager blanc  
C;ACTIVITES DE FABRICATION ;C270200;Fabrication d'appareils domestiques ;C27020003;Fers à repasser et sèche-cheveux 
C;ACTIVITES DE FABRICATION ;C270200;Fabrication d'appareils domestiques ;C27020004;Autres appareils domestiques électriques 
C;ACTIVITES DE FABRICATION ;C270200;Fabrication d'appareils domestiques ;C27020005;Parties d’appareils domestiques divers 
C;ACTIVITES DE FABRICATION ;C270200;Fabrication d'appareils domestiques ;C27020006;Cuisinières et autres appareils ménagers non électriques 
